Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-30,1517.7,1518.4,1517.5,1517.8,3597128,0,0
2019-12-31,1526.5,1529.0,1519.2,1520.0,117342599,0,0
2020-01-02,1521.9,1534.0,1520.9,1531.2,138920019,0,0
2020-01-03,1541.4,1556.6,1540.9,1555.2,252835424,0,0
2020-01-05,1562.7,1590.9,1562.3,1571.3,1601769,0,0
2020-01-06,1578.4,1581.5,1562.7,1565.9,351767794,0,0
2020-01-07,1561.0,1600.0,1560.8,1595.1,248100301,0,0
2020-01-08,1594.7,1597.0,1553.4,1558.5,523360893,0,0
2020-01-09,1559.2,1559.8,1541.0,1553.4,214311140,0,0
2020-01-10,1548.0,1564.1,1547.1,1563.2,169714044,0,0
2020-01-12,1563.0,1563.1,1558.9,1559.9,207196,0,0
2020-01-13,1556.5,1557.3,1545.4,1545.7,170548560,0,0
2020-01-14,1539.4,1550.6,1536.7,1549.8,190177255,0,0
2020-01-15,1552.5,1558.8,1547.3,1556.0,164493030,0,0
2020-01-16,1555.8,1557.6,1548.0,1552.4,137787507,0,0
2020-01-17,1555.9,1561.4,1554.0,1557.3,140402771,0,0
2020-01-19,1557.3,1559.1,1555.9,1557.3,97444,0,0
2020-01-21,1566.6,1567.2,1546.0,1556.0,301372688,0,0
2020-01-22,1552.8,1563.3,1550.3,1561.4,155293608,0,0
2020-01-23,1553.7,1567.5,1551.3,1560.6,162065697,0,0
2020-01-24,1559.1,1575.4,1555.8,1571.3,183129709,0,0
2020-01-26,1580.5,1588.4,1578.7,1582.3,858573,0,0
2020-01-27,1578.5,1585.8,1575.3,1580.0,217486818,0,0
2020-01-28,1578.6,1581.5,1564.6,1566.7,183559081,0,0
2020-01-29,1564.4,1577.7,1563.9,1576.5,134300741,0,0
2020-01-30,1578.6,1590.7,1571.7,1579.6,165676819,0,0
2020-01-31,1576.0,1594.8,1570.9,1593.4,144766831,0,0
2020-02-02,1597.8,1598.5,1588.6,1593.5,372385,0,0
2020-02-03,1585.4,1585.8,1568.2,1582.5,186103733,0,0

